DateTime,AddedIPs,RemovedIPs
1588364120,0,7
1588364418,0,4
1588364720,0,1
1588367417,13,0
1588370117,4,0
1588371318,10,0
1588374618,277,0
1588377920,10,0
1588378217,22,0
1588380620,1,0
1588381821,48,0
1588383921,0,1
1588385118,4,0
1588385418,33,0
1588386021,83,0
1588389018,21,0
1588389918,1,0
1588392617,21,0
1588392920,6,0
1588393519,1,0
1588396521,17,0
1588399818,45,0
1588400728,3,0
1588403719,10,0
1588407021,4,0
1588410617,9,0
1588414218,10,0
1588417818,9,0
1588421119,0,1
1588421417,4,0
1588424718,1,1
1588425018,2,0
1588428022,43,0
1588428319,13,0
1588428619,7,0
1588432221,14,0
1588435520,0,1
1588435819,6,0
1588437319,7,0
1588439418,9,0
1588443019,4,0
1588443922,43,0
1588445419,1,0
1588446618,4,0
1588449619,2,0
1588450217,6,0
1588452620,1,0
1588452917,22,0
1588453219,156,0
1588453518,22,0
1588453818,5,1
1588456516,4,0
1588457417,6,0
1588460717,3,0
1588461317,6,0
1588464021,5,0
1588464617,4,0
1588468217,4,0
1588471818,3,0
1588475418,6,0
1588479018,3,0
1588481120,56,0
1588482619,12,0
1588485918,0,1
1588486517,4,0
1588486819,4,0
1588487123,1,0
1588488021,1,0
1588489819,4,0
1588493420,3,0
1588497019,7,0
1588498220,37,0
1588500621,4,0
1588501219,25,0
1588501520,171,0
1588502722,0,2
1588504219,5,0
1588507519,0,1
1588507818,5,0
1588511420,2,0
1588515020,9,0
1588516219,19,0
1588517120,2,0
1588517419,1,0
1588518319,0,1
1588518618,2,0
1588522218,8,0
1588525817,3,0
1588529120,3,1
1588529417,6,0
1588532718,0,1
1588533018,5,0
1588536318,2,0
1588536919,3,0
1588537220,1,0
1588540219,3,0
1588540819,1,0
1588541717,1,0
1588543820,8,0
1588547419,7,0
1588550117,2,0
1588551317,8,0
1588554620,1,0
1588558218,6,0
1588561817,8,0
1588565417,4,0
1588566018,69,0
1588569017,1,0
1588572617,3,0
1588576220,4,0
1588579518,0,1
1588579817,33,2
1588580418,1,0
1588581918,0,1
1588583419,1,0
1588587020,6,0
1588591818,41,0
1588594217,3,0
1588596324,4,0
1588597820,5,0
1588601118,0,1
1588601420,1,0
1588601723,684,0
1588602020,60,0
1588603219,58,0
1588604719,0,1
1588605323,192,0
1588605920,0,1
1588606517,1,0
1588607718,1,0
1588608919,78,0
1588611317,2,0
1588611919,3,0
1588612517,60,0
1588616119,57,0
1588619119,0,1
1588619418,4,0
1588619719,20,0
1588623318,396,0
1588626917,63,0
1588630218,1,0
1588630517,28,0
1588633519,822,0
1588633817,544,0
1588634119,20,0
1588637719,26,0
1588641018,1,0
1588641320,15,0
1588644317,4,0
1588644917,36,0
1588648218,1,0
1588648518,13,0
1588651523,0,1
1588652118,11,0
1588654819,0,3
1588655417,99,0
1588655719,25,0
1588658719,0,1
1588659018,1,0
1588659319,9,0
1588662917,13,0
1588666521,16,0
1588669518,0,1
1588670117,16,0
1588673721,19,0
1588677320,16,0
1588680922,6,0
1588684520,5,0
1588688122,12,0
1588689018,32,0
1588691723,18,0
1588694118,3,0
1588694718,0,1
1588695320,5,0
1588695619,2,0
1588695918,0,1
1588698919,9,0
1588702518,7,0
1588705521,0,1
1588705820,12,0
1588706121,237,0
1588709418,66,0
1588709719,85,0
1588711818,4,0
1588713018,18,0
1588713319,37,0
1588715122,3,0
1588716620,22,0
1588716919,16,0
1588720217,6,0
1588720817,13,0
1588723817,3,0
1588724119,18,0
1588726819,1,0
1588727719,38,0
1588728619,133,0
1588728916,1,0
1588731318,8,0
1588734618,5,0
1588734919,6,0
1588737019,4,0
1588738217,1,0
1588738520,9,0
1588741818,1,0
1588742117,7,0
1588745417,6,0
1588745721,12,0
1588749318,12,0
1588752320,0,3
1588752918,9,0
1588756217,1,0
1588756519,17,0
1588759818,1,0
1588760420,3,0
1588763720,12,0
1588767318,9,0
1588768519,7,0
1588770619,4,0
1588770923,7,0
1588773920,0,1
1588774218,1,0
1588774524,8,0
1588775718,2,0
1588777819,1,0
1588778121,6,0
1588779318,290,0
1588779619,301,0
1588781120,0,1
1588781419,1,0
1588781718,11,0
1588782917,1,0
1588785321,9,0
1588787717,2,0
1588788920,3,0
1588792519,19,0
1588794321,2,0
1588795520,0,1
1588795818,39,0
1588796119,43,0
1588799419,24,0
1588799719,16,0
1588802117,1,0
1588803019,8,0
1588803317,13,0
1588806319,0,1
1588806617,10,0
1588806918,10,0
1588810217,1,0
1588810517,3,0
1588812317,4,0
1588812620,1,0
1588813817,4,0
1588814116,10,0
1588815018,1,0
1588817118,1,0
1588817418,5,0
1588818018,9,0
1588821017,2,0
1588821319,7,0
1588824620,9,0
1588824921,3,0
1588825520,70,0
1588828520,5,0
1588832120,8,0
1588835119,0,1
1588835418,2,0
1588835721,6,0
1588838719,0,1
1588839020,1,0
1588839318,7,0
1588842618,3,0
1588842923,5,0
1588846822,4,0
1588849821,1,0
1588850121,2,0
1588853420,1,0
1588853721,7,0
1588856718,0,2
1588857320,6,0
1588858520,2,0
1588858821,76,0
1588860927,7,0
1588864221,1,0
1588864523,6,0
1588866323,11,0
1588868423,7,2
1588871722,8,0
1588875322,5,0
1588878621,1,0
1588878920,4,0
1588882219,4,0
1588882520,2,0
1588883718,3,0
1588885817,1,1
1588886118,4,0
1588889719,8,0
1588890917,275,0
1588892719,1,2
1588893318,12,0
1588896618,1,0
1588896918,1,0
1588897818,1,0
1588898719,2,0
1588900217,2,0
1588900517,3,0
1588900818,0,1
1588903818,2,0
1588904118,4,0
1588907718,5,0
1588911019,5,0
1588911319,2,0
1588911620,0,2
1588914617,1,0
1588914918,4,0
1588918219,1,0
1588918521,9,0
1588921817,0,1
1588922118,2,0
1588925118,0,1
1588925418,102,0
1588925720,129,0
1588929019,43,0
1588929320,7,0
1588932618,18,0
